hotel_id,city,distance,stars,rating,country,city_actual,rating_reviewcount,center1label,center2label,neighbourhood,accommodation_type
38,Amsterdam,4.8,3.0,4.3,Netherlands,Amsterdam,777.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
39,Amsterdam,5.2,2.0,3.4,Netherlands,Amsterdam,237.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hostel
40,Amsterdam,4.9,4.0,4.3,Netherlands,Amsterdam,164.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
41,Amsterdam,4.8,4.0,4.3,Netherlands,Amsterdam,176.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
42,Amsterdam,4.9,3.0,4.1,Netherlands,Amsterdam,553.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
43,Amsterdam,5.3,3.0,3.5,Netherlands,Amsterdam,34.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
44,Amsterdam,5.3,3.5,4.0,Netherlands,Amsterdam,13.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
45,Amsterdam,5.2,4.0,3.7,Netherlands,Amsterdam,366.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
46,Amsterdam,5.8,3.0,3.5,Netherlands,Amsterdam,150.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
47,Amsterdam,5.9,4.0,3.7,Netherlands,Amsterdam,144.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
48,Amsterdam,6.0,4.0,4.0,Netherlands,Amsterdam,445.0,City centre,Montelbaanstoren,Amsterdam Southeast,Hotel
49,Amsterdam,0.8,2.0,3.2,Netherlands,Amsterdam,13.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
50,Amsterdam,2.6,3.5,4.5,Netherlands,Amsterdam,382.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
51,Amsterdam,1.2,4.0,4.5,Netherlands,Amsterdam,464.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
52,Amsterdam,1.1,2.5,4.5,Netherlands,Amsterdam,125.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
53,Amsterdam,2.4,1.0,4.0,Netherlands,Amsterdam,58.0,City centre,Montelbaanstoren,Amsterdam West,Hostel
54,Amsterdam,1.1,3.0,4.1,Netherlands,Amsterdam,115.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
55,Amsterdam,1.0,2.0,4.3,Netherlands,Amsterdam,110.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
56,Amsterdam,1.0,4.0,3.2,Netherlands,Amsterdam,24.0,City centre,Montelbaanstoren,Amsterdam West,Apartment
57,Amsterdam,1.0,4.0,3.9,Netherlands,Amsterdam,635.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
58,Amsterdam,1.0,3.0,3.7,Netherlands,Amsterdam,117.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
59,Amsterdam,1.0,3.5,4.0,Netherlands,Amsterdam,183.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
60,Amsterdam,5.2,3.0,3.5,Netherlands,Amsterdam,13.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
61,Amsterdam,2.6,3.0,4.1,Netherlands,Amsterdam,625.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
62,Amsterdam,2.3,4.0,4.5,Netherlands,Amsterdam,1487.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
63,Amsterdam,2.3,3.0,3.5,Netherlands,Amsterdam,358.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
64,Amsterdam,1.4,2.5,4.5,Netherlands,Amsterdam,55.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
65,Amsterdam,2.4,3.0,3.9,Netherlands,Amsterdam,929.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
66,Amsterdam,3.6,4.0,4.0,Netherlands,Amsterdam,565.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
67,Amsterdam,0.9,3.0,2.0,Netherlands,Amsterdam,1.0,City centre,Montelbaanstoren,Amsterdam West,Apartment
69,Amsterdam,2.0,4.0,3.9,Netherlands,Amsterdam,8.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
70,Amsterdam,2.1,4.0,4.3,Netherlands,Amsterdam,416.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
71,Amsterdam,2.6,4.0,4.1,Netherlands,Amsterdam,377.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
72,Amsterdam,2.7,3.0,4.3,Netherlands,Amsterdam,210.0,City centre,Montelbaanstoren,Amsterdam West,Apart-hotel
73,Amsterdam,0.8,3.0,3.7,Netherlands,Amsterdam,175.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
74,Amsterdam,2.6,2.0,4.0,Netherlands,Amsterdam,798.0,City centre,Montelbaanstoren,Amsterdam West,Hostel
75,Amsterdam,3.9,3.0,4.0,Netherlands,Amsterdam,297.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
76,Amsterdam,4.0,4.0,4.0,Netherlands,Amsterdam,266.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
77,Amsterdam,1.4,3.0,4.0,Netherlands,Amsterdam,200.0,City centre,Montelbaanstoren,Amsterdam West,Inn
78,Amsterdam,4.2,3.0,3.7,Netherlands,Amsterdam,632.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
79,Amsterdam,3.1,2.0,2.9,Netherlands,Amsterdam,123.0,City centre,Montelbaanstoren,Amsterdam West,Hostel
80,Amsterdam,3.0,4.0,2.4,Netherlands,Amsterdam,5.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
81,Amsterdam,1.7,3.0,4.4,Netherlands,Amsterdam,568.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
82,Amsterdam,1.7,4.0,4.4,Netherlands,Amsterdam,403.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
83,Amsterdam,2.1,4.0,4.3,Netherlands,Amsterdam,960.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
84,Amsterdam,2.4,3.0,4.5,Netherlands,Amsterdam,463.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
85,Amsterdam,2.2,3.0,4.0,Netherlands,Amsterdam,227.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
86,Amsterdam,0.8,3.0,3.5,Netherlands,Amsterdam,376.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
87,Amsterdam,0.8,3.0,3.9,Netherlands,Amsterdam,203.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
88,Amsterdam,0.8,3.0,4.0,Netherlands,Amsterdam,516.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
89,Amsterdam,0.9,3.0,4.0,Netherlands,Amsterdam,23.0,City centre,Montelbaanstoren,Amsterdam West,Apartment
90,Amsterdam,2.9,4.0,3.5,Netherlands,Amsterdam,2.0,City centre,Montelbaanstoren,Amsterdam West,Apartment
91,Amsterdam,1.8,3.0,4.5,Netherlands,Amsterdam,11.0,City centre,Montelbaanstoren,Amsterdam West,Apartment
93,Amsterdam,1.6,3.5,3.5,Netherlands,Amsterdam,145.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
94,Amsterdam,2.2,2.0,3.7,Netherlands,Amsterdam,295.0,City centre,Montelbaanstoren,Amsterdam West,Hostel
95,Amsterdam,2.6,3.0,4.1,Netherlands,Amsterdam,469.0,City centre,Montelbaanstoren,Amsterdam West,Hotel
96,Amsterdam,5.3,3.0,3.9,Netherlands,Badhoevedorp,1415.0,City centre,Montelbaanstoren,Badhoevedorp,Hotel
97,Amsterdam,5.3,3.0,3.5,Netherlands,Badhoevedorp,958.0,City centre,Montelbaanstoren,Badhoevedorp,Hotel
98,Amsterdam,5.7,3.0,4.0,Netherlands,Badhoevedorp,232.0,City centre,Montelbaanstoren,Badhoevedorp,Hotel
99,Amsterdam,5.8,4.0,4.0,Netherlands,Badhoevedorp,709.0,City centre,Montelbaanstoren,Badhoevedorp,Hotel
100,Amsterdam,0.9,2.0,3.5,Netherlands,Amsterdam,84.0,City centre,Montelbaanstoren,Canal Ring,Hotel
101,Amsterdam,0.5,3.0,3.9,Netherlands,Amsterdam,38.0,City centre,Montelbaanstoren,Canal Ring,Hotel
102,Amsterdam,0.9,3.0,4.1,Netherlands,Amsterdam,90.0,City centre,Montelbaanstoren,Canal Ring,Hotel
103,Amsterdam,0.5,3.0,3.5,Netherlands,Amsterdam,791.0,City centre,Montelbaanstoren,Canal Ring,Hotel
104,Amsterdam,0.4,2.0,3.2,Netherlands,Amsterdam,93.0,City centre,Montelbaanstoren,Canal Ring,Hotel
105,Amsterdam,0.5,4.0,3.7,Netherlands,Amsterdam,438.0,City centre,Montelbaanstoren,Canal Ring,Hotel
106,Amsterdam,0.6,3.0,2.9,Netherlands,Amsterdam,160.0,City centre,Montelbaanstoren,Canal Ring,Hotel
107,Amsterdam,0.4,4.0,4.3,Netherlands,Amsterdam,59.0,City centre,Montelbaanstoren,Canal Ring,Guest House
108,Amsterdam,0.3,3.0,4.8,Netherlands,Amsterdam,29.0,City centre,Montelbaanstoren,Canal Ring,Guest House
109,Amsterdam,0.2,4.0,4.8,Netherlands,Amsterdam,431.0,City centre,Montelbaanstoren,Canal Ring,Hotel
110,Amsterdam,0.2,2.0,4.1,Netherlands,Amsterdam,143.0,City centre,Montelbaanstoren,Canal Ring,Hotel
111,Amsterdam,0.3,4.0,4.8,Netherlands,Amsterdam,280.0,City centre,Montelbaanstoren,Canal Ring,Hotel
112,Amsterdam,0.5,4.0,4.8,Netherlands,Amsterdam,552.0,City centre,Montelbaanstoren,Canal Ring,Hotel
113,Amsterdam,0.6,5.0,4.9,Netherlands,Amsterdam,150.0,City centre,Montelbaanstoren,Canal Ring,Hotel
114,Amsterdam,1.0,3.0,3.5,Netherlands,Amsterdam,33.0,City centre,Montelbaanstoren,Canal Ring,Apartment
115,Amsterdam,0.3,4.0,4.6,Netherlands,Amsterdam,190.0,City centre,Montelbaanstoren,Canal Ring,Hotel
116,Amsterdam,0.3,4.0,4.9,Netherlands,Amsterdam,373.0,City centre,Montelbaanstoren,Canal Ring,Hotel
117,Amsterdam,0.4,4.0,4.0,Netherlands,Amsterdam,189.0,City centre,Montelbaanstoren,Canal Ring,Hotel
118,Amsterdam,0.4,5.0,4.8,Netherlands,Amsterdam,116.0,City centre,Montelbaanstoren,Canal Ring,Hotel
119,Amsterdam,0.7,2.5,3.7,Netherlands,Amsterdam,113.0,City centre,Montelbaanstoren,Canal Ring,Hotel
120,Amsterdam,0.6,2.0,3.0,Netherlands,Amsterdam,100.0,City centre,Montelbaanstoren,Canal Ring,Hotel
121,Amsterdam,0.6,2.0,3.0,Netherlands,Amsterdam,251.0,City centre,Montelbaanstoren,Canal Ring,Hotel
122,Amsterdam,0.6,2.5,3.0,Netherlands,Amsterdam,275.0,City centre,Montelbaanstoren,Canal Ring,Hotel
123,Amsterdam,0.4,3.0,3.5,Netherlands,Amsterdam,121.0,City centre,Montelbaanstoren,Canal Ring,Hotel
124,Amsterdam,0.7,1.0,2.7,Netherlands,Amsterdam,30.0,City centre,Montelbaanstoren,Canal Ring,Hostel
125,Amsterdam,1.0,3.0,4.0,Netherlands,Amsterdam,104.0,City centre,Montelbaanstoren,Canal Ring,Hotel
126,Amsterdam,0.4,5.0,4.6,Netherlands,Amsterdam,234.0,City centre,Montelbaanstoren,Canal Ring,Hotel
127,Amsterdam,0.4,5.0,4.5,Netherlands,Amsterdam,54.0,City centre,Montelbaanstoren,Canal Ring,Hotel
128,Amsterdam,0.7,2.0,3.2,Netherlands,Amsterdam,90.0,City centre,Montelbaanstoren,Canal Ring,Hotel
129,Amsterdam,0.8,4.0,4.0,Netherlands,Amsterdam,369.0,City centre,Montelbaanstoren,Canal Ring,Hotel
130,Amsterdam,1.0,3.0,4.0,Netherlands,Amsterdam,159.0,City centre,Montelbaanstoren,Canal Ring,Hotel
131,Amsterdam,0.8,3.0,3.7,Netherlands,Amsterdam,179.0,City centre,Montelbaanstoren,Canal Ring,Hotel
132,Amsterdam,0.8,2.0,3.2,Netherlands,Amsterdam,317.0,City centre,Montelbaanstoren,Canal Ring,Hotel
133,Amsterdam,0.4,5.0,4.8,Netherlands,Amsterdam,271.0,City centre,Montelbaanstoren,Canal Ring,Hotel
134,Amsterdam,0.5,2.0,4.0,Netherlands,Amsterdam,114.0,City centre,Montelbaanstoren,Canal Ring,Hotel
135,Amsterdam,0.7,4.0,4.3,Netherlands,Amsterdam,461.0,City centre,Montelbaanstoren,Canal Ring,Hotel
136,Amsterdam,0.7,2.0,3.5,Netherlands,Amsterdam,93.0,City centre,Montelbaanstoren,Canal Ring,Hotel
137,Amsterdam,0.5,5.0,4.8,Netherlands,Amsterdam,180.0,City centre,Montelbaanstoren,Canal Ring,Hotel
138,Amsterdam,0.6,5.0,4.3,Netherlands,Amsterdam,11.0,City centre,Montelbaanstoren,Canal Ring,Hotel
139,Amsterdam,0.8,1.0,2.9,Netherlands,Amsterdam,19.0,City centre,Montelbaanstoren,Canal Ring,Hotel
140,Amsterdam,1.1,5.0,4.5,Netherlands,Amsterdam,39.0,City centre,Montelbaanstoren,Canal Ring,Hotel
141,Amsterdam,0.2,2.0,2.7,Netherlands,Amsterdam,183.0,City centre,Montelbaanstoren,Canal Ring,Hotel
142,Amsterdam,0.3,2.5,3.0,Netherlands,Amsterdam,20.0,City centre,Montelbaanstoren,Canal Ring,Hotel
143,Amsterdam,0.3,2.5,3.0,Netherlands,Amsterdam,193.0,City centre,Montelbaanstoren,Canal Ring,Hotel
144,Amsterdam,0.3,2.0,4.5,Netherlands,Amsterdam,225.0,City centre,Montelbaanstoren,Canal Ring,Hotel
145,Amsterdam,0.3,2.0,3.5,Netherlands,Amsterdam,225.0,City centre,Montelbaanstoren,Canal Ring,Hotel
146,Amsterdam,0.5,4.0,3.9,Netherlands,Amsterdam,252.0,City centre,Montelbaanstoren,Canal Ring,Hotel
147,Amsterdam,0.5,1.0,3.5,Netherlands,Amsterdam,112.0,City centre,Montelbaanstoren,Canal Ring,Hotel
148,Amsterdam,0.5,4.0,3.7,Netherlands,Amsterdam,265.0,City centre,Montelbaanstoren,Canal Ring,Hotel
149,Amsterdam,0.5,4.0,3.5,Netherlands,Amsterdam,260.0,City centre,Montelbaanstoren,Canal Ring,Hotel
150,Amsterdam,0.5,2.0,3.0,Netherlands,Amsterdam,227.0,City centre,Montelbaanstoren,Canal Ring,Hotel
151,Amsterdam,0.3,2.0,2.2,Netherlands,Amsterdam,94.0,City centre,Montelbaanstoren,Canal Ring,Hotel
152,Amsterdam,0.3,2.0,3.5,Netherlands,Amsterdam,97.0,City centre,Montelbaanstoren,Canal Ring,Hotel
153,Amsterdam,1.1,3.0,4.3,Netherlands,Amsterdam,50.0,City centre,Montelbaanstoren,Canal Ring,Guest House
154,Amsterdam,1.1,2.0,3.5,Netherlands,Amsterdam,48.0,City centre,Montelbaanstoren,Canal Ring,Hotel
155,Amsterdam,0.2,4.0,4.6,Netherlands,Amsterdam,523.0,City centre,Montelbaanstoren,Canal Ring,Hotel
156,Amsterdam,0.4,4.0,4.4,Netherlands,Amsterdam,8.0,City centre,Montelbaanstoren,Canal Ring,Apartment
157,Amsterdam,0.4,2.0,2.5,Netherlands,Amsterdam,34.0,City centre,Montelbaanstoren,Canal Ring,Hotel
158,Amsterdam,0.4,2.0,2.9,Netherlands,Amsterdam,116.0,City centre,Montelbaanstoren,Canal Ring,Hotel
159,Amsterdam,0.3,4.0,4.0,Netherlands,Amsterdam,526.0,City centre,Montelbaanstoren,Canal Ring,Hotel
160,Amsterdam,0.6,2.5,3.5,Netherlands,Amsterdam,38.0,City centre,Montelbaanstoren,Canal Ring,Hotel
161,Amsterdam,0.5,2.0,3.7,Netherlands,Amsterdam,41.0,City centre,Montelbaanstoren,Canal Ring,Hotel
162,Amsterdam,0.5,4.0,4.3,Netherlands,Amsterdam,28.0,City centre,Montelbaanstoren,Canal Ring,Apartment
163,Amsterdam,0.4,4.0,4.8,Netherlands,Amsterdam,8.0,City centre,Montelbaanstoren,Canal Ring,Apartment
164,Amsterdam,0.4,3.0,4.4,Netherlands,Amsterdam,7.0,City centre,Montelbaanstoren,Canal Ring,Apartment
165,Amsterdam,0.7,3.0,4.0,Netherlands,Amsterdam,5.0,City centre,Montelbaanstoren,Canal Ring,Apartment
166,Amsterdam,0.3,3.0,3.2,Netherlands,Amsterdam,4.0,City centre,Montelbaanstoren,Canal Ring,Apartment
167,Amsterdam,0.5,4.0,3.5,Netherlands,Amsterdam,493.0,City centre,Montelbaanstoren,Canal Ring,Hotel
168,Amsterdam,0.5,4.0,4.0,Netherlands,Amsterdam,353.0,City centre,Montelbaanstoren,Canal Ring,Hotel
169,Amsterdam,0.6,3.0,3.9,Netherlands,Amsterdam,98.0,City centre,Montelbaanstoren,Canal Ring,Hotel
170,Amsterdam,0.9,4.0,4.8,Netherlands,Amsterdam,95.0,City centre,Montelbaanstoren,Canal Ring,Hotel
171,Amsterdam,1.1,4.0,4.3,Netherlands,Amsterdam,407.0,City centre,Montelbaanstoren,Canal Ring,Hotel
172,Amsterdam,1.0,3.0,4.0,Netherlands,Amsterdam,326.0,City centre,Montelbaanstoren,Canal Ring,Hotel
173,Amsterdam,1.0,4.0,4.4,Netherlands,Amsterdam,20.0,City centre,Montelbaanstoren,Canal Ring,Hotel
174,Amsterdam,1.0,4.0,4.3,Netherlands,Amsterdam,182.0,City centre,Montelbaanstoren,Canal Ring,Hotel
175,Amsterdam,0.2,3.0,3.4,Netherlands,Amsterdam,10.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
176,Amsterdam,0.2,1.0,2.5,Netherlands,Amsterdam,75.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
177,Amsterdam,0.2,1.5,2.7,Netherlands,Amsterdam,72.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hostel
178,Amsterdam,0.1,5.0,4.3,Netherlands,Amsterdam,180.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
179,Amsterdam,0.1,4.0,4.0,Netherlands,Amsterdam,454.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
180,Amsterdam,0.1,4.0,4.3,Netherlands,Amsterdam,619.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
181,Amsterdam,0.1,2.0,3.5,Netherlands,Amsterdam,158.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
182,Amsterdam,0.1,3.5,3.4,Netherlands,Amsterdam,54.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
183,Amsterdam,0.1,3.0,3.9,Netherlands,Amsterdam,374.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
184,Amsterdam,0.4,3.0,4.5,Netherlands,Amsterdam,10.0,City centre,Montelbaanstoren,Dam Square - Central Station,Bed and breakfast
185,Amsterdam,0.4,2.5,2.7,Netherlands,Amsterdam,560.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
186,Amsterdam,0.2,3.5,5.0,Netherlands,Amsterdam,2.0,City centre,Montelbaanstoren,Dam Square - Central Station,Apartment
187,Amsterdam,0.2,4.0,4.5,Netherlands,Amsterdam,11.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
188,Amsterdam,0.1,3.0,4.0,Netherlands,Amsterdam,1130.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
189,Amsterdam,0.1,1.0,3.7,Netherlands,Amsterdam,43.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
190,Amsterdam,0.1,4.0,4.0,Netherlands,Amsterdam,666.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
191,Amsterdam,0.2,3.0,3.7,Netherlands,Amsterdam,236.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
192,Amsterdam,0.5,5.0,4.8,Netherlands,Amsterdam,240.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
193,Amsterdam,0.2,2.0,3.2,Netherlands,Amsterdam,109.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hostel
194,Amsterdam,0.3,1.0,3.0,Netherlands,Amsterdam,151.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
195,Amsterdam,0.2,1.0,3.2,Netherlands,Amsterdam,128.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
196,Amsterdam,0.2,5.0,4.6,Netherlands,Amsterdam,264.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
197,Amsterdam,0.2,5.0,4.8,Netherlands,Amsterdam,4.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
198,Amsterdam,0.1,3.0,3.9,Netherlands,Amsterdam,32.0,City centre,Montelbaanstoren,Dam Square - Central Station,Bed and breakfast
199,Amsterdam,0.7,3.5,3.5,Netherlands,Amsterdam,74.0,City centre,Montelbaanstoren,Dam Square - Central Station,Apartment
200,Amsterdam,0.7,4.0,3.5,Netherlands,Amsterdam,37.0,City centre,Montelbaanstoren,Dam Square - Central Station,Apartment
201,Amsterdam,0.5,5.0,4.3,Netherlands,Amsterdam,1202.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
202,Amsterdam,0.4,3.0,3.5,Netherlands,Amsterdam,101.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
203,Amsterdam,0.5,3.0,3.7,Netherlands,Amsterdam,205.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
204,Amsterdam,0.5,3.0,3.9,Netherlands,Amsterdam,326.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
205,Amsterdam,0.6,3.0,3.7,Netherlands,Amsterdam,199.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
206,Amsterdam,0.6,4.0,4.3,Netherlands,Amsterdam,13.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
207,Amsterdam,0.6,3.0,3.9,Netherlands,Amsterdam,241.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
208,Amsterdam,0.2,3.0,3.2,Netherlands,Amsterdam,317.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
209,Amsterdam,0.2,3.0,4.0,Netherlands,Amsterdam,7.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
210,Amsterdam,0.3,4.0,4.4,Netherlands,Amsterdam,614.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
211,Amsterdam,0.1,5.0,4.1,Netherlands,Amsterdam,116.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
212,Amsterdam,0.5,3.0,3.7,Netherlands,Amsterdam,724.0,City centre,Montelbaanstoren,Dam Square - Central Station,Hotel
